x,y,status,floor_factor,victim_present
44,82,clear,,0
85,83,clear,,0
46,12,clear,,0
38,8,clear,,0
51,90,clear,,0
43,86,clear,,0
76,34,clear,,0
49,17,clear,,0
15,24,clear,,0
7,20,clear,,1
26,33,clear,,0
86,84,clear,,0
18,29,clear,,0
78,80,clear,,0
70,76,clear,,0
89,89,clear,,0
17,70,wall,,0
50,18,wall,,0
36,83,clear,,0
91,19,clear,,0
42,14,clear,,0
28,79,clear,,0
47,92,clear,,0
8,21,clear,,0
0,17,clear,,0
19,30,clear,,0
11,26,clear,,0
71,77,clear,,0
29,80,clear,,0
21,76,clear,,0
81,90,clear,,0
87,21,wall,,0
73,86,clear,,0
39,93,clear,,0
45,24,clear,,0
72,41,clear,,0
64,37,wall,,0
56,33,clear,,0
3,27,wall,,0
14,36,clear,,0
74,87,clear,,0
13,77,clear,,0
46,25,clear,,0
32,90,clear,,0
24,86,clear,,0
49,30,clear,,0
90,31,clear,,0
15,37,clear,,0
70,89,clear,,0
17,83,clear,,0
91,32,clear,,0
28,92,clear,,0
69,93,clear,,0
60,44,clear,,0
33,27,clear,,0
25,23,clear,,0
44,36,clear,,0
2,39,clear,,0
62,90,clear,,0
54,86,clear,,0
34,28,clear,,0
45,37,clear,,0
86,38,clear,,0
37,33,clear,,0
3,40,clear,,0
89,43,clear,,0
55,50,clear,,0
79,35,wall,,0
71,31,clear,,0
90,44,clear,,0
29,34,clear,,0
48,47,clear,,0
6,50,clear,,0
50,93,clear,,0
42,89,clear,,0
75,37,clear,,0
41,44,clear,,0
74,41,clear,,0
93,54,clear,,0
25,36,clear,,0
44,49,clear,,0
85,50,clear,,0
10,56,clear,,0
51,57,clear,,0
2,52,clear,,0
76,1,clear,,0
26,0,clear,,1
86,51,clear,,0
59,34,clear,,0
78,47,clear,,0
70,43,wall,,0
89,56,clear,,0
36,50,clear,,0
47,59,clear,,0
27,1,clear,,0
5,62,clear,,0
71,44,clear,,0
30,6,clear,,0
63,40,clear,,0
40,56,clear,,0
81,57,clear,,0
6,63,clear,,0
72,8,clear,,0
64,4,clear,,0
56,0,clear,,0
22,7,clear,,0
14,3,clear,,0
74,54,clear,,0
93,67,clear,,0
66,50,clear,,1
85,63,clear,,0
32,57,clear,,0
57,1,clear,,0
35,62,clear,,0
15,4,clear,,0
1,69,clear,,0
67,51,clear,,0
59,47,clear,,0
18,9,clear,,0
70,56,clear,,0
36,63,clear,,0
9,46,clear,,0
77,64,clear,,0
47,72,clear,,0
80,69,clear,,0
5,75,clear,,0
52,7,clear,,1
44,3,clear,,0
10,10,clear,,0
2,6,clear,,0
62,57,clear,,0
81,70,clear,,0
54,53,clear,,0
87,1,clear,,0
20,60,clear,,0
53,8,clear,,1
39,73,clear,,0
45,4,clear,,0
86,5,clear,,0
31,69,clear,,0
3,7,clear,,0
89,10,clear,,0
22,20,clear,,0
14,16,clear,,0
13,57,clear,,0
32,70,clear,,0
79,2,clear,,0
43,79,clear,,0
16,62,clear,,0
90,11,clear,,0
35,75,clear,,0
76,76,clear,,0
82,7,clear,,0
1,82,clear,,0
29,1,clear,,0
48,14,clear,,0
40,10,clear,,0
92,57,clear,,0
6,17,clear,,0
9,59,clear,,0
77,77,clear,,0
50,60,clear,,0
69,73,clear,,0
83,8,clear,,0
75,4,clear,,0
80,82,clear,,0
27,76,clear,,0
33,7,clear,,0
52,20,wall,,0
93,21,clear,,0
25,3,clear,,0
44,16,clear,,0
85,17,wall,,0
30,81,clear,,0
10,23,clear,,0
51,24,clear,,0
2,19,clear,,0
67,5,clear,,0
12,69,clear,,0
86,18,clear,,0
31,82,clear,,0
4,65,clear,,0
72,83,clear,,0
23,78,clear,,0
59,1,clear,,0
70,10,wall,,0
89,23,clear,,0
55,30,clear,,0
47,26,clear,,0
88,64,clear,,0
16,75,clear,,0
63,7,clear,,0
76,89,clear,,0
68,85,clear,,0
15,79,clear,,0
48,27,clear,,0
21,10,clear,,1
40,23,clear,,0
26,88,clear,,0
18,84,clear,,0
92,70,clear,,0
69,86,clear,,0
42,69,clear,,0
8,76,clear,,0
27,89,clear,,0
0,72,clear,,0
19,85,clear,,0
93,34,clear,,0
85,30,wall,,0
32,24,clear,,0
51,37,clear,,0
24,20,clear,,0
43,33,clear,,0
84,71,clear,,0
35,29,clear,,0
87,76,clear,,0
4,78,clear,,0
64,92,clear,,0
56,88,clear,,0
36,30,clear,,0
9,13,clear,,0
28,26,clear,,0
47,39,clear,,0
88,77,clear,,0
5,42,clear,,0
65,93,clear,,0
38,76,clear,,0
57,89,clear,,0
21,23,clear,,0
54,20,wall,,0
73,33,clear,,0
20,27,clear,,0
39,40,clear,,0
31,36,clear,,0
91,87,clear,,0
23,32,clear,,0
83,83,clear,,0
75,79,clear,,0
41,86,clear,,0
74,34,clear,,0
13,24,clear,,0
44,91,clear,,0
32,37,clear,,0
24,33,clear,,0
43,46,clear,,0
16,29,clear,,0
84,84,clear,,0
76,43,clear,,0
1,49,clear,,0
87,89,clear,,0
34,83,clear,,0
45,92,clear,,0
92,24,clear,,0
37,88,clear,,0
17,30,clear,,0
58,31,wall,,0
77,44,clear,,0
50,27,clear,,0
9,26,clear,,0
61,36,clear,,0
80,49,clear,,0
19,39,wall,,0
71,86,clear,,0
62,37,clear,,0
54,33,wall,,0
73,46,clear,,0
39,53,clear,,0
12,36,clear,,0
72,50,clear,,0
75,92,clear,,0
88,31,clear,,0
25,91,clear,,0
13,37,clear,,0
46,34,clear,,0
65,47,clear,,0
57,43,clear,,0
76,56,clear,,0
49,39,clear,,0
68,52,clear,,0
67,93,clear,,0
92,37,clear,,0
58,44,clear,,0
50,40,clear,,0
69,53,clear,,0
42,36,clear,,0
61,49,clear,,0
8,43,clear,,0
0,39,clear,,0
93,1,clear,,0
30,61,clear,,0
51,4,clear,,1
43,0,clear,,0
1,3,clear,,0
87,43,clear,,1
53,50,clear,,0
4,45,clear,,0
45,46,clear,,0
72,63,clear,,0
64,59,clear,,0
14,58,clear,,0
88,44,clear,,0
47,6,clear,,0
46,47,clear,,0
5,9,clear,,1
57,56,clear,,0
49,52,clear,,0
15,59,clear,,0
7,55,clear,,0
81,4,clear,,0
73,0,clear,,0
18,64,wall,,0
39,7,clear,,0
31,3,clear,,0
91,54,clear,,0
42,49,clear,,0
83,50,clear,,0
75,46,clear,,0
8,56,clear,,0
0,52,clear,,0
41,53,clear,,0
74,1,clear,,0
11,61,clear,,0
44,58,clear,,0
32,4,clear,,0
10,65,clear,,0
84,51,wall,,0
43,13,clear,,0
35,9,clear,,0
87,56,clear,,0
1,16,clear,,0
34,50,clear,,0
45,59,clear,,0
37,55,clear,,0
3,62,clear,,0
22,75,clear,,0
69,7,clear,,0
14,71,clear,,0
61,3,clear,,1
27,10,clear,,0
38,56,clear,,0
79,57,clear,,0
71,53,clear,,0
90,66,clear,,0
82,62,clear,,0
62,4,clear,,0
7,68,clear,,0
54,0,clear,,0
40,65,clear,,0
20,7,clear,,0
6,72,clear,,0
39,20,clear,,0
12,3,clear,,0
91,67,clear,,0
23,12,clear,,0
83,63,clear,,0
75,59,clear,,0
41,66,clear,,0
33,62,clear,,0
13,4,clear,,0
93,76,clear,,0
44,71,clear,,0
46,1,clear,,0
10,78,clear,,0
16,9,clear,,0
57,10,wall,,0
2,74,clear,,0
49,6,clear,,0
34,63,clear,,0
26,22,clear,,0
86,73,clear,,0
92,4,clear,,0
37,68,clear,,0
78,69,clear,,0
3,75,clear,,0
89,78,wall,,0
50,7,clear,,0
36,72,clear,,0
42,3,clear,,0
55,85,clear,,0
8,10,clear,,0
27,23,clear,,0
0,6,clear,,0
79,70,clear,,0
11,15,wall,,0
30,28,clear,,0
90,79,clear,,0
82,75,clear,,0
84,5,clear,,0
29,69,clear,,0
40,78,clear,,0
87,10,clear,,0
12,16,clear,,0
72,30,clear,,0
4,12,clear,,0
56,22,clear,,0
22,29,clear,,0
88,11,clear,,0
33,75,clear,,0
74,76,clear,,0
85,85,clear,,0
46,14,clear,,0
32,79,clear,,0
38,10,clear,,0
51,92,clear,,0
43,88,clear,,0
49,19,clear,,0
35,84,clear,,0
68,32,clear,,0
15,26,clear,,0
7,22,clear,,0
26,35,clear,,0
86,86,clear,,0
18,31,clear,,0
78,82,clear,,0
70,78,clear,,0
89,91,clear,,0
17,72,wall,,0
91,21,clear,,0
36,85,clear,,0
9,68,clear,,0
42,16,clear,,0
28,81,clear,,0
8,23,clear,,0
0,19,clear,,0
60,33,wall,,0
11,28,clear,,0
52,29,wall,,0
29,82,clear,,0
21,78,clear,,0
87,23,clear,,0
73,88,clear,,1
45,26,clear,,0
31,91,clear,,0
64,39,clear,,0
14,38,clear,,0
74,89,clear,,0
66,85,clear,,0
13,79,clear,,0
32,92,clear,,0
24,88,clear,,0
90,33,clear,,0
15,39,wall,,0
48,36,clear,,0
92,79,clear,,0
91,34,clear,,0
61,91,clear,,0
60,46,clear,,0
33,29,clear,,0
25,25,clear,,0
44,38,clear,,0
2,41,clear,,0
62,92,clear,,0
54,88,clear,,0
34,30,clear,,0
86,40,clear,,0
78,36,clear,,0
3,42,clear,,0
89,45,clear,,0
55,52,clear,,0
47,48,clear,,0
88,86,clear,,0
79,37,wall,,0
71,33,clear,,0
90,46,clear,,0
29,36,clear,,0
48,49,clear,,0
21,32,clear,,0
40,45,clear,,0
6,52,clear,,0
42,91,clear,,0
74,43,clear,,0
93,56,clear,,0
25,38,clear,,0
44,51,clear,,0
85,52,clear,,0
10,58,clear,,0
51,59,clear,,0
2,54,clear,,0
43,55,clear,,0
76,3,clear,,0
26,2,clear,,0
86,53,clear,,0
59,36,clear,,0
78,49,clear,,0
70,45,clear,,0
89,58,clear,,0
17,39,wall,,0
36,52,clear,,0
47,61,clear,,0
60,0,clear,,0
5,64,clear,,0
63,42,clear,,0
40,58,clear,,0
81,59,clear,,0
73,55,clear,,0
6,65,clear,,0
39,62,clear,,1
72,10,wall,,0
64,6,clear,,1
56,2,clear,,0
22,9,clear,,0
14,5,clear,,0
74,56,clear,,0
93,69,clear,,0
66,52,clear,,0
85,65,clear,,0
32,59,clear,,0
43,68,clear,,0
90,0,clear,,0
35,64,clear,,0
15,6,clear,,0
1,71,clear,,0
7,2,clear,,0
48,3,clear,,0
59,49,clear,,0
18,11,wall,,0
92,46,clear,,0
91,1,clear,,0
36,65,clear,,0
9,48,clear,,0
28,61,clear,,0
80,71,clear,,0
