agent,x,y,status,visited,last_seen_step,floor_factor,victim_present,victim_id,vitals_read,read_step,vitals_raw,g_cost,parent_x,parent_y,neighbors_clear
explorer_2,46,46,clear,1,150,,0,,0,,[],,,,"[[45, 45], [45, 46], [45, 47], [46, 45], [46, 47], [47, 45], [47, 46], [47, 47]]"
explorer_2,46,45,clear,1,1498,,0,,0,,[],,,,"[[45, 44], [45, 45], [45, 46], [46, 44], [46, 46], [47, 44], [47, 45], [47, 46]]"
explorer_2,47,45,clear,1,61,,0,,0,,[],,,,"[[46, 44], [46, 45], [46, 46], [47, 44], [47, 46], [48, 44], [48, 45], [48, 46]]"
explorer_2,47,46,clear,1,62,,0,,0,,[],,,,"[[46, 45], [46, 46], [46, 47], [47, 45], [47, 47], [48, 45], [48, 46], [48, 47]]"
explorer_2,47,47,clear,1,63,,0,,0,,[],,,,"[[46, 46], [46, 47], [46, 48], [47, 46], [47, 48], [48, 46], [48, 47], [48, 48]]"
explorer_2,46,47,clear,1,150,,0,,0,,[],,,,"[[45, 46], [45, 47], [45, 48], [46, 46], [46, 48], [47, 46], [47, 47], [47, 48]]"
explorer_2,45,47,clear,0,150,,0,,0,,[],,,,[]
explorer_2,45,46,clear,1,151,,0,,0,,[],,,,"[[44, 45], [44, 46], [44, 47], [45, 45], [45, 47], [46, 45], [46, 46], [46, 47]]"
explorer_2,45,45,clear,1,151,,0,,0,,[],,,,"[[44, 44], [44, 45], [44, 46], [45, 44], [45, 46], [46, 44], [46, 45], [46, 46]]"
explorer_2,46,44,clear,1,149,,0,,0,,[],,,,"[[45, 43], [45, 44], [45, 45], [46, 43], [46, 45], [47, 43], [47, 44], [47, 45]]"
explorer_2,47,44,clear,0,163,,0,,0,,[],,,,[]
explorer_2,45,44,clear,1,1498,,0,,0,,[],,,,"[[44, 43], [44, 44], [44, 45], [45, 43], [45, 45], [46, 43], [46, 44], [46, 45]]"
explorer_2,48,44,clear,1,163,,0,,0,,[],,,,"[[47, 43], [47, 44], [47, 45], [48, 43], [48, 45], [49, 43], [49, 44], [49, 45]]"
explorer_2,48,45,clear,1,61,,0,,0,,[],,,,"[[47, 44], [47, 45], [47, 46], [48, 44], [48, 46], [49, 44], [49, 45], [49, 46]]"
explorer_2,48,46,clear,1,62,,0,,0,,[],,,,"[[47, 45], [47, 46], [47, 47], [48, 45], [48, 47], [49, 45], [49, 46], [49, 47]]"
explorer_2,46,43,clear,1,164,,0,,0,,[],,,,"[[45, 42], [45, 43], [45, 44], [46, 42], [46, 44], [47, 42], [47, 43], [47, 44]]"
explorer_2,47,43,clear,1,164,,0,,0,,[],,,,"[[46, 42], [46, 43], [46, 44], [47, 42], [47, 44], [48, 42], [48, 43], [48, 44]]"
explorer_2,45,43,clear,0,157,,0,,0,,[],,,,[]
explorer_2,47,42,clear,1,165,,0,,0,,[],,,,"[[46, 41], [46, 42], [46, 43], [47, 41], [47, 43], [48, 41], [48, 42], [48, 43]]"
explorer_2,48,42,clear,1,165,,0,,0,,[],,,,"[[47, 41], [47, 42], [47, 43], [48, 41], [48, 43], [49, 41], [49, 42], [49, 43]]"
explorer_2,48,43,clear,1,164,,0,,0,,[],,,,"[[47, 42], [47, 43], [47, 44], [48, 42], [48, 44], [49, 42], [49, 43], [49, 44]]"
explorer_2,46,42,clear,1,164,,0,,0,,[],,,,"[[45, 41], [45, 42], [45, 43], [46, 41], [46, 43], [47, 41], [47, 42], [47, 43]]"
explorer_2,49,43,clear,1,163,,0,,0,,[],,,,"[[48, 42], [48, 43], [48, 44], [49, 42], [49, 44], [50, 42], [50, 43], [50, 44]]"
explorer_2,49,44,clear,1,163,,0,,0,,[],,,,"[[48, 43], [48, 44], [48, 45], [49, 43], [49, 45], [50, 43], [50, 44], [50, 45]]"
explorer_2,49,45,clear,1,101,,0,,0,,[],,,,"[[48, 44], [48, 45], [48, 46], [49, 44], [49, 46], [50, 44], [50, 45], [50, 46]]"
explorer_2,50,43,clear,1,162,,0,,0,,[],,,,"[[49, 42], [49, 43], [49, 44], [50, 42], [50, 44], [51, 42], [51, 43], [51, 44]]"
explorer_2,50,44,clear,1,162,,0,,0,,[],,,,"[[49, 43], [49, 44], [49, 45], [50, 43], [50, 45], [51, 43], [51, 44], [51, 45]]"
explorer_2,50,45,clear,1,101,,0,,0,,[],,,,"[[49, 44], [49, 45], [49, 46], [50, 44], [50, 46], [51, 44], [51, 45], [51, 46]]"
explorer_2,49,46,clear,1,100,,0,,0,,[],,,,"[[48, 45], [48, 46], [48, 47], [49, 45], [49, 47], [50, 45], [50, 46], [50, 47]]"
explorer_2,50,46,clear,1,100,,0,,0,,[],,,,"[[49, 45], [49, 46], [49, 47], [50, 45], [50, 47], [51, 45], [51, 46], [51, 47]]"
explorer_2,50,47,clear,0,99,,0,,0,,[],,,,[]
explorer_2,49,47,clear,1,99,,0,,0,,[],,,,"[[48, 46], [48, 47], [48, 48], [49, 46], [49, 48], [50, 46], [50, 47], [50, 48]]"
explorer_2,48,47,clear,1,62,,0,,0,,[],,,,"[[47, 46], [47, 47], [47, 48], [48, 46], [48, 48], [49, 46], [49, 47], [49, 48]]"
explorer_2,49,48,clear,1,59,,0,,0,,[],,,,"[[48, 47], [48, 48], [48, 49], [49, 47], [49, 49], [50, 47], [50, 48], [50, 49]]"
explorer_2,48,48,clear,1,62,,0,,0,,[],,,,"[[47, 47], [47, 48], [47, 49], [48, 47], [48, 49], [49, 47], [49, 48], [49, 49]]"
explorer_2,47,48,clear,1,64,,0,,0,,[],,,,"[[46, 47], [46, 48], [46, 49], [47, 47], [47, 49], [48, 47], [48, 48], [48, 49]]"
explorer_2,49,49,clear,1,76,,0,,0,,[],,,,"[[48, 48], [48, 49], [48, 50], [49, 48], [49, 50], [50, 48], [50, 49], [50, 50]]"
explorer_2,48,49,clear,1,68,,0,,0,,[],,,,"[[47, 48], [47, 49], [47, 50], [48, 48], [48, 50], [49, 48], [49, 49], [49, 50]]"
explorer_2,47,49,clear,1,66,,0,,0,,[],,,,"[[46, 48], [46, 49], [46, 50], [47, 48], [47, 50], [48, 48], [48, 49], [48, 50]]"
explorer_2,48,50,clear,1,69,,0,,0,,[],,,,"[[47, 49], [47, 50], [47, 51], [48, 49], [48, 51], [49, 49], [49, 50], [49, 51]]"
explorer_2,47,50,clear,1,69,,0,,0,,[],,,,"[[46, 49], [46, 50], [46, 51], [47, 49], [47, 51], [48, 49], [48, 50], [48, 51]]"
explorer_2,46,50,clear,0,65,,0,,0,,[],,,,[]
explorer_2,46,49,clear,1,65,,0,,0,,[],,,,"[[45, 48], [45, 49], [45, 50], [46, 48], [46, 50], [47, 48], [47, 49], [47, 50]]"
explorer_2,46,48,clear,1,64,,0,,0,,[],,,,"[[45, 47], [45, 48], [45, 49], [46, 47], [46, 49], [47, 47], [47, 48], [47, 49]]"
explorer_2,45,48,clear,1,64,,0,,0,,[],,,,"[[44, 47], [44, 48], [44, 49], [45, 47], [45, 49], [46, 47], [46, 48], [46, 49]]"
explorer_2,45,49,clear,0,64,,0,,0,,[],,,,[]
explorer_2,44,49,clear,1,24,,0,,0,,[],,,,"[[43, 48], [43, 49], [43, 50], [44, 48], [44, 50], [45, 48], [45, 49], [45, 50]]"
explorer_2,44,48,clear,0,20,,0,,0,,[],,,,[]
explorer_2,44,47,clear,0,150,,0,,0,,[],,,,[]
explorer_2,45,50,clear,1,64,,0,,0,,[],,,,"[[44, 49], [44, 50], [44, 51], [45, 49], [45, 51], [46, 49], [46, 50], [46, 51]]"
explorer_2,44,50,clear,1,25,,0,,0,,[],,,,"[[43, 49], [43, 50], [43, 51], [44, 49], [44, 51], [45, 49], [45, 50], [45, 51]]"
explorer_2,43,50,clear,1,25,,0,,0,,[],,,,"[[42, 49], [42, 50], [42, 51], [43, 49], [43, 51], [44, 49], [44, 50], [44, 51]]"
explorer_2,43,49,clear,1,24,,0,,0,,[],,,,"[[42, 48], [42, 49], [42, 50], [43, 48], [43, 50], [44, 48], [44, 49], [44, 50]]"
explorer_2,43,48,clear,0,20,,0,,0,,[],,,,[]
explorer_2,46,51,clear,0,65,,0,,0,,[],,,,[]
explorer_2,45,51,clear,1,29,,0,,0,,[],,,,"[[44, 50], [44, 51], [44, 52], [45, 50], [45, 52], [46, 50], [46, 51], [46, 52]]"
explorer_2,44,51,clear,1,26,,0,,0,,[],,,,"[[43, 50], [43, 51], [43, 52], [44, 50], [44, 52], [45, 50], [45, 51], [45, 52]]"
explorer_2,46,52,clear,1,32,,0,,0,,[],,,,"[[45, 51], [45, 52], [45, 53], [46, 51], [46, 53], [47, 51], [47, 52], [47, 53]]"
explorer_2,45,52,clear,1,29,,0,,0,,[],,,,"[[44, 51], [44, 52], [44, 53], [45, 51], [45, 53], [46, 51], [46, 52], [46, 53]]"
explorer_2,44,52,clear,0,27,,0,,0,,[],,,,[]
explorer_2,43,51,clear,1,25,,0,,0,,[],,,,"[[42, 50], [42, 51], [42, 52], [43, 50], [43, 52], [44, 50], [44, 51], [44, 52]]"
explorer_2,42,50,clear,1,24,,0,,0,,[],,,,"[[41, 49], [41, 50], [41, 51], [42, 49], [42, 51], [43, 49], [43, 50], [43, 51]]"
explorer_2,42,49,clear,0,24,,0,,0,,[],,,,[]
explorer_2,42,48,clear,0,20,,0,,0,,[],,,,[]
explorer_2,42,51,clear,1,24,,0,,0,,[],,,,"[[41, 50], [41, 51], [41, 52], [42, 50], [42, 52], [43, 50], [43, 51], [43, 52]]"
explorer_2,41,51,clear,0,22,,0,,0,,[],,,,[]
explorer_2,41,50,clear,0,22,,0,,0,,[],,,,[]
explorer_2,41,49,clear,0,21,,0,,0,,[],,,,[]
explorer_2,43,52,clear,0,25,,0,,0,,[],,,,[]
explorer_2,42,52,clear,0,23,,0,,0,,[],,,,[]
explorer_2,41,52,clear,0,22,,0,,0,,[],,,,[]
explorer_2,46,53,clear,1,32,,0,,0,,[],,,,"[[45, 52], [45, 53], [45, 54], [46, 52], [46, 54], [47, 52], [47, 53], [47, 54]]"
explorer_2,45,53,clear,1,29,,0,,0,,[],,,,"[[44, 52], [44, 53], [44, 54], [45, 52], [45, 54], [46, 52], [46, 53], [46, 54]]"
explorer_2,44,53,clear,0,27,,0,,0,,[],,,,[]
explorer_2,46,54,clear,0,32,,0,,0,,[],,,,[]
explorer_2,45,54,clear,0,28,,0,,0,,[],,,,[]
explorer_2,44,54,clear,0,27,,0,,0,,[],,,,[]
explorer_2,47,52,clear,1,70,,0,,0,,[],,,,"[[46, 51], [46, 52], [46, 53], [47, 51], [47, 53], [48, 51], [48, 52], [48, 53]]"
explorer_2,47,53,clear,1,70,,0,,0,,[],,,,"[[46, 52], [46, 53], [46, 54], [47, 52], [47, 54], [48, 52], [48, 53], [48, 54]]"
explorer_2,47,54,clear,0,33,,0,,0,,[],,,,[]
explorer_2,47,51,clear,1,70,,0,,0,,[],,,,"[[46, 50], [46, 51], [46, 52], [47, 50], [47, 52], [48, 50], [48, 51], [48, 52]]"
explorer_2,48,51,clear,1,74,,0,,0,,[],,,,"[[47, 50], [47, 51], [47, 52], [48, 50], [48, 52], [49, 50], [49, 51], [49, 52]]"
explorer_2,48,52,clear,1,74,,0,,0,,[],,,,"[[47, 51], [47, 52], [47, 53], [48, 51], [48, 53], [49, 51], [49, 52], [49, 53]]"
explorer_2,48,53,clear,1,74,,0,,0,,[],,,,"[[47, 52], [47, 53], [47, 54], [48, 52], [48, 54], [49, 52], [49, 53], [49, 54]]"
explorer_2,48,54,clear,0,71,,0,,0,,[],,,,[]
explorer_2,49,52,clear,1,74,,0,,0,,[],,,,"[[48, 51], [48, 52], [48, 53], [49, 51], [49, 53], [50, 51], [50, 52], [50, 53]]"
explorer_2,49,53,clear,1,74,,0,,0,,[],,,,"[[48, 52], [48, 53], [48, 54], [49, 52], [49, 54], [50, 52], [50, 53], [50, 54]]"
explorer_2,49,54,clear,1,71,,0,,0,,[],,,,"[[48, 53], [48, 54], [48, 55], [49, 53], [49, 55], [50, 53], [50, 54], [50, 55]]"
