agent,x,y,status,visited,last_seen_step,floor_factor,victim_present,victim_id,vitals_read,read_step,vitals_raw,g_cost,parent_x,parent_y,neighbors_clear
explorer_3,46,46,clear,1,60,,0,,0,,[],,,,"[[45, 45], [45, 46], [45, 47], [46, 45], [46, 47], [47, 45], [47, 46], [47, 47]]"
explorer_3,46,45,clear,1,1402,,0,,0,,[],,,,[]
explorer_3,47,45,clear,1,61,,0,,0,,[],,,,"[[46, 44], [46, 45], [46, 46], [47, 44], [47, 46], [48, 44], [48, 45], [48, 46]]"
explorer_3,47,46,clear,1,61,,0,,0,,[],,,,"[[46, 45], [46, 46], [46, 47], [47, 45], [47, 47], [48, 45], [48, 46], [48, 47]]"
explorer_3,47,47,clear,1,59,,0,,0,,[],,,,"[[46, 46], [46, 47], [46, 48], [47, 46], [47, 48], [48, 46], [48, 47], [48, 48]]"
explorer_3,46,47,clear,0,59,,0,,0,,[],,,,[]
explorer_3,45,47,clear,0,50,,0,,0,,[],,,,[]
explorer_3,45,46,clear,1,10,,0,,0,,[],,,,"[[44, 45], [44, 46], [44, 47], [45, 45], [45, 47], [46, 45], [46, 46], [46, 47]]"
explorer_3,45,45,clear,1,41,,0,,0,,[],,,,"[[44, 44], [44, 45], [44, 46], [45, 44], [45, 46], [46, 44], [46, 45], [46, 46]]"
explorer_3,44,47,clear,1,47,,0,,0,,[],,,,"[[43, 46], [43, 47], [43, 48], [44, 46], [44, 48], [45, 46], [45, 47], [45, 48]]"
explorer_3,44,46,clear,0,46,,0,,0,,[],,,,[]
explorer_3,44,45,clear,1,43,,0,,0,,[],,,,"[[43, 44], [43, 45], [43, 46], [44, 44], [44, 46], [45, 44], [45, 45], [45, 46]]"
explorer_3,45,48,clear,0,50,,0,,0,,[],,,,[]
explorer_3,44,48,clear,1,49,,0,,0,,[],,,,"[[43, 47], [43, 48], [43, 49], [44, 47], [44, 49], [45, 47], [45, 48], [45, 49]]"
explorer_3,43,48,clear,1,48,,0,,0,,[],,,,"[[42, 47], [42, 48], [42, 49], [43, 47], [43, 49], [44, 47], [44, 48], [44, 49]]"
explorer_3,43,47,clear,1,47,,0,,0,,[],,,,"[[42, 46], [42, 47], [42, 48], [43, 46], [43, 48], [44, 46], [44, 47], [44, 48]]"
explorer_3,43,46,clear,1,46,,0,,0,,[],,,,"[[42, 45], [42, 46], [42, 47], [43, 45], [43, 47], [44, 45], [44, 46], [44, 47]]"
explorer_3,44,49,clear,1,49,,0,,0,,[],,,,"[[43, 48], [43, 49], [43, 50], [44, 48], [44, 50], [45, 48], [45, 49], [45, 50]]"
explorer_3,43,49,clear,0,48,,0,,0,,[],,,,[]
explorer_3,42,49,clear,0,4,,0,,0,,[],,,,[]
explorer_3,42,48,clear,1,46,,0,,0,,[],,,,"[[41, 47], [41, 48], [41, 49], [42, 47], [42, 49], [43, 47], [43, 48], [43, 49]]"
explorer_3,42,47,clear,1,46,,0,,0,,[],,,,"[[41, 46], [41, 47], [41, 48], [42, 46], [42, 48], [43, 46], [43, 47], [43, 48]]"
explorer_3,41,49,clear,0,4,,0,,0,,[],,,,[]
explorer_3,41,48,clear,0,45,,0,,0,,[],,,,[]
explorer_3,41,47,clear,1,45,,0,,0,,[],,,,"[[40, 46], [40, 47], [40, 48], [41, 46], [41, 48], [42, 46], [42, 47], [42, 48]]"
explorer_3,41,46,clear,1,45,,0,,0,,[],,,,"[[40, 45], [40, 46], [40, 47], [41, 45], [41, 47], [42, 45], [42, 46], [42, 47]]"
explorer_3,42,46,clear,1,46,,0,,0,,[],,,,"[[41, 45], [41, 46], [41, 47], [42, 45], [42, 47], [43, 45], [43, 46], [43, 47]]"
explorer_3,40,48,clear,0,5,,0,,0,,[],,,,[]
explorer_3,40,47,clear,0,6,,0,,0,,[],,,,[]
explorer_3,40,46,clear,0,6,,0,,0,,[],,,,[]
explorer_3,41,45,clear,0,44,,0,,0,,[],,,,[]
explorer_3,42,45,clear,1,44,,0,,0,,[],,,,"[[41, 44], [41, 45], [41, 46], [42, 44], [42, 46], [43, 44], [43, 45], [43, 46]]"
explorer_3,40,45,clear,0,6,,0,,0,,[],,,,[]
explorer_3,42,44,clear,0,43,,0,,0,,[],,,,[]
explorer_3,43,44,clear,1,43,,0,,0,,[],,,,"[[42, 43], [42, 44], [42, 45], [43, 43], [43, 45], [44, 43], [44, 44], [44, 45]]"
explorer_3,43,45,clear,1,44,,0,,0,,[],,,,"[[42, 44], [42, 45], [42, 46], [43, 44], [43, 46], [44, 44], [44, 45], [44, 46]]"
explorer_3,41,44,clear,0,33,,0,,0,,[],,,,[]
explorer_3,44,44,clear,1,43,,0,,0,,[],,,,"[[43, 43], [43, 44], [43, 45], [44, 43], [44, 45], [45, 43], [45, 44], [45, 45]]"
explorer_3,45,44,clear,1,41,,0,,0,,[],,,,"[[44, 43], [44, 44], [44, 45], [45, 43], [45, 45], [46, 43], [46, 44], [46, 45]]"
explorer_3,46,44,clear,1,1402,,0,,0,,[],,,,[]
explorer_3,45,43,clear,1,41,,0,,0,,[],,,,"[[44, 42], [44, 43], [44, 44], [45, 42], [45, 44], [46, 42], [46, 43], [46, 44]]"
explorer_3,46,43,clear,1,1402,,0,,0,,[],,,,"[[45, 42], [45, 43], [45, 44], [46, 42], [46, 44], [47, 42], [47, 43], [47, 44]]"
explorer_3,44,43,clear,1,42,,0,,0,,[],,,,"[[43, 42], [43, 43], [43, 44], [44, 42], [44, 44], [45, 42], [45, 43], [45, 44]]"
explorer_3,46,42,clear,1,1402,,0,,0,,[],,,,"[[45, 41], [45, 42], [45, 43], [46, 41], [46, 43], [47, 41], [47, 42], [47, 43]]"
explorer_3,47,42,clear,0,13,,0,,0,,[],,,,[]
