38,4,-1
39,4,-1
40,4,-1
41,4,-1
42,4,-1
43,4,-1
44,4,-1
55,10,-1
56,10,-1
57,10,-1
58,10,-1
60,33,-1
61,34,-1
62,35,-1
63,36,-1
64,37,-1
65,38,-1
67,10,-1
68,10,-1
68,41,-1
69,10,-1
69,42,-1
70,10,-1
70,43,-1
71,10,-1
72,10,-1
73,10,-1
74,10,-1
75,10,-1
76,10,-1
77,10,-1
78,10,-1
79,10,-1
79,80,-1
79,81,-1
80,10,-1
81,10,-1
82,10,-1
83,10,-1
84,10,-1
84,43,-1
84,49,-1
84,50,-1
84,51,-1
84,52,-1
84,53,-1
84,54,-1
84,55,-1
85,10,-1
85,11,-1
85,12,-1
85,13,-1
85,14,-1
85,15,-1
85,16,-1
85,17,-1
85,18,-1
85,19,-1
85,20,-1
85,21,-1
85,22,-1
85,23,-1
85,24,-1
85,25,-1
85,26,-1
85,27,-1
85,28,-1
85,29,-1
85,30,-1
85,31,-1
85,32,-1
85,33,-1
85,34,-1
85,35,-1
85,36,-1
85,37,-1
85,38,-1
85,39,-1
85,40,-1
85,41,-1
85,42,-1
85,43,-1
86,11,-1
87,11,-1
87,12,-1
87,13,-1
87,14,-1
87,15,-1
87,16,-1
87,17,-1
87,18,-1
87,19,-1
87,20,-1
87,21,-1
87,22,-1
88,22,-1
89,22,-1
89,70,-1
89,71,-1
89,75,-1
89,76,-1
89,77,-1
89,78,-1
89,79,-1
89,80,-1
90,22,-1
92,80,-1
92,81,-1
92,82,-1
92,83,-1
92,84,-1
92,85,-1
92,86,-1
92,87,-1
92,88,-1
92,89,-1
